id,title,release_date,popularity,vote_average,genre_ids,genres,year,revenue,budget
56292,Mission: Impossible - Ghost Protocol,2011-12-07,15.4717,7.096,"(28, 53, 12)","['Action', 'Thriller', 'Adventure']",2011,694713380.0,145000000.0
296096,Me Before You,2016-06-01,15.4621,7.929,"(18, 10749)","['Drama', 'Romance']",2016,207945075.0,20000000.0
335983,Venom,2018-09-28,15.4566,6.829,"(878, 28)","['Science Fiction', 'Action']",2018,856085151.0,116000000.0
10625,Mean Girls,2004-04-30,15.436,7.219,"(18, 35)","['Drama', 'Comedy']",2004,130161094.0,17000000.0
937287,Challengers,2024-04-18,15.4212,7.0,"(18, 10749)","['Drama', 'Romance']",2024,94182533.0,55000000.0
36670,Never Say Never Again,1983-10-07,15.4075,6.049,"(12, 28, 53)","['Adventure', 'Action', 'Thriller']",1983,160000000.0,36000000.0
300668,Annihilation,2018-02-22,15.4063,6.426,"(878, 27)","['Science Fiction', 'Horror']",2018,43070915.0,40000000.0
921436,Escape,2024-07-03,15.3941,7.296,"(28, 18)","['Action', 'Drama']",2024,13368094.0,0.0
105,Back to the Future,1985-07-03,15.3149,8.319,"(12, 35, 878)","['Adventure', 'Comedy', 'Science Fiction']",1985,381109762.0,19000000.0
917496,Beetlejuice Beetlejuice,2024-09-04,15.2895,7.021,"(27, 35, 14)","['Horror', 'Comedy', 'Fantasy']",2024,451900435.0,99000000.0
1470086,Ligaw,2025-05-09,15.2587,0.0,"(18, 10749)","['Drama', 'Romance']",2025,0.0,0.0
447277,The Little Mermaid,2023-05-18,15.2383,6.315,"(12, 10751, 14, 10749)","['Adventure', 'Family', 'Fantasy', 'Romance']",2023,569626289.0,297000000.0
1333100,Attack on Titan: THE LAST ATTACK,2024-11-08,15.2195,8.5,"(16, 28, 12, 14)","['Animation', 'Action', 'Adventure', 'Fantasy']",2024,19791639.0,0.0
868759,Ghosted,2023-04-18,15.2073,6.941,"(28, 35, 10749)","['Action', 'Comedy', 'Romance']",2023,0.0,40000000.0
359724,Ford v Ferrari,2019-11-13,15.1869,8.003,"(18, 28, 36)","['Drama', 'Action', 'History']",2019,225508210.0,97600000.0
926393,The Equalizer 3,2023-08-30,15.17,7.315,"(28, 53, 80)","['Action', 'Thriller', 'Crime']",2023,191067560.0,70000000.0
619278,Inside Man: Most Wanted,2019-09-24,15.1596,6.416,"(28, 80, 53)","['Action', 'Crime', 'Thriller']",2019,0.0,0.0
514593,You Should Have Left,2020-06-18,15.1576,6.095,"(27, 53)","['Horror', 'Thriller']",2020,0.0,0.0
436969,The Suicide Squad,2021-07-28,15.132,7.488,"(28, 35, 12)","['Action', 'Comedy', 'Adventure']",2021,168717425.0,185000000.0
49026,The Dark Knight Rises,2012-07-17,15.211,7.785,"(28, 80, 18, 53)","['Action', 'Crime', 'Drama', 'Thriller']",2012,1081041287.0,250000000.0
72808,The Flesh,1991-05-09,15.1218,5.6,"(18, 10749)","['Drama', 'Romance']",1991,0.0,0.0
16869,Inglourious Basterds,2009-08-02,15.07,8.215,"(18, 53, 10752)","['Drama', 'Thriller', 'War']",2009,321457747.0,70000000.0
257094,Holland,2025-03-09,15.0023,5.337,"(53, 9648)","['Thriller', 'Mystery']",2025,0.0,0.0
762504,Nope,2022-07-20,14.9961,6.8,"(878, 27, 53)","['Science Fiction', 'Horror', 'Thriller']",2022,170823080.0,68000000.0
44214,Black Swan,2010-12-03,14.8732,7.686,"(18, 53, 27)","['Drama', 'Thriller', 'Horror']",2010,329398046.0,13000000.0
953,Madagascar,2005-05-25,14.7153,6.91,"(10751, 16, 12, 35)","['Family', 'Animation', 'Adventure', 'Comedy']",2005,542064525.0,75000000.0
1930,The Amazing Spider-Man,2012-06-23,14.669,6.715,"(28, 12, 878)","['Action', 'Adventure', 'Science Fiction']",2012,757930663.0,215000000.0
753342,Napoleon,2023-11-22,14.6498,6.35,"(36, 10752, 10749)","['History', 'War', 'Romance']",2023,220597098.0,165000000.0
58,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,14.6222,7.366,"(12, 14, 28)","['Adventure', 'Fantasy', 'Action']",2006,1066179747.0,200000000.0
615777,Babylon,2022-12-22,14.5752,7.381,"(18, 35)","['Drama', 'Comedy']",2022,65267446.0,78000000.0
